,Mean,Std Dev,Skewness,Kurtosis,IQR
 Ambient Conditions  Ambient Humidity  U  Act,15.330758801817145,1.188993135913381,0.11331485692624724,-1.6397472723171596,2.59
 Ambient Conditions  Ambient Temp  U  Act,23.84363500851789,0.3735349841877448,-0.5328541437119853,-0.6885102817175137,0.629999999999999
 Mchn 1  Raw Mat  Property 1,11.851255678591707,0.510309146155625,1.162975757350453,-0.41313070012340347,0.6800000000000015
 Mchn 1  Raw Mat  Property 2,205.6763202725724,11.606323808867343,1.9212823456824832,2.187776489083859,1.0
 Mchn 1  Raw Mat  Property 3,951.6798147359456,126.6620095208831,-2.2203177818642925,3.4850701759575546,64.43000000000006
 Mchn 1  Raw Mat  Property 4,248.86889551391255,3.297820396319378,1.5964639891723622,1.1903693997494624,4.0
 Mchn 1  Raw Mat Feeder Parameter  U  Act,1242.7642757373014,95.84594642285938,-4.487157475224072,22.8069237398537,16.289999999999964
 Mchn 1  Zone 1 Temp  C  Act,72.01333044774276,0.0631829886196901,4.160693450488568,23.209066430174587,0.0
 Mchn 1  Zone 2 Temp  C  Act,72.01310569792378,0.4063127762223553,0.02985123069629913,-1.3932339533939635,0.8000000000000114
 Mchn 1  Motor Amperage  U  Act,70.33311111956843,5.52521732833819,-1.587474417204413,4.663747423490013,4.040000000000006
 Mchn 1  Motor R P M  C  Act,11.07209423177811,0.635171719137984,0.5793426012540139,-1.357714717574391,1.25
 Mchn 1  Mat Pressure  U  Act,409.0067239781232,20.478384882248136,-1.0766496221838138,-0.20597403736500652,12.520000000000039
 Mchn 1  Mat Temp  U  Act,81.4699995456573,0.9305622285610223,0.17713180587547098,3.304684449572381,0.7999999999999972
 Mchn 1  Exit Zone Temp  C  Act,75.96616133705423,2.0590267076966393,1.1386155587832854,0.386721304065071,0.09999999999999432
 Mchn 2  Raw Mat  Property 1,12.793397217490062,0.10730175083520808,-1.3682468034100597,-0.12791886508893846,0.0
 Mchn 2  Raw Mat  Property 2,239.91148495173198,2.0634952083693885,-1.3682468034100719,-0.12791886508891537,0.0
 Mchn 2  Raw Mat  Property 3,566.3681906587166,18.327964440736892,1.3682468034100792,-0.12791886508890205,0.0
 Mchn 2  Raw Mat  Property 4,256.21770300965363,0.41269904167387766,1.3682468034098652,-0.1279188650892915,0.0
 Mchn 2  Raw Mat Feeder Parameter  U  Act,202.58531057703013,15.110900570819835,-1.8330623117977554,21.25822956504924,17.61250000000001
 Mchn 2  Zone 1 Temp  C  Act,68.99690381378976,0.057020281768907215,7.345550180197259,61.20559762994185,0.01999999999999602
 Mchn 2  Zone 2 Temp  C  Act,69.10108284170997,0.10911449661823493,3.2536597554004123,21.212322015356875,0.020000000000010232
 Mchn 2  Motor Amperage  U  Act,73.39876168548979,0.39605126988574624,-0.6643186513914279,0.08780324281664864,0.5
 Mchn 2  Motor R P M  C  Act,13.896802706779528,0.029167315885596522,-0.13766131958826644,-1.0264938095933371,0.05000000000000071
 Mchn 2  Mat Pressure  U  Act,226.12223402673905,3.1063948571223037,1.2466959845414696,5.396747725634528,4.050000000000011
 Mchn 2  Mat Temp  U  Act,76.81227798046281,0.8550022331761029,-5.355339714212242,33.313154196904016,0.19999999999998863
 Mchn 2  Exit Zone Temp  C  Act,60.00133112157156,0.1620698515403735,0.13066701714665233,0.4062821392690972,0.20000000000000284
 Mchn 3  Raw Mat  Property 1,9.090484099943213,0.39660450092136945,1.3324342940106213,-0.023801228002107155,0.1899999999999995
 Mchn 3  Raw Mat  Property 2,205.64721749006247,16.319763552114782,-0.1522475236130788,-1.920317145695029,35.0
 Mchn 3  Raw Mat  Property 3,425.01441226575804,9.559927689569495,-0.6494160634952678,-1.101662599673597,12.019999999999982
 Mchn 3  Raw Mat  Property 4,203.03875638841566,2.177618017987904,-0.3723283951468136,-1.6175016048711346,5.0
 Mchn 3  Raw Mat Feeder Parameter  U  Act,202.37955466641117,15.653649305311065,-2.1617489802950516,24.47347974646368,17.810000000000002
 Mchn 3  Zone 1 Temp  C  Act,78.00825139916809,0.07682632686421903,0.33932282138410164,32.932107255076524,0.0
 Mchn 3  Zone 2 Temp  C  Act,78.00495756705921,0.11482156344882395,0.3511528227333279,0.16415951415539398,0.19999999999998863
 Mchn 3  Motor Amperage  U  Act,345.1115914862152,9.077714261085884,0.8740124796567408,-0.07394669932075937,9.3125
 Mchn 3  Motor R P M  C  Act,13.269664023842985,0.43459431224854705,-0.9178215688547195,0.08736208574954984,0.6600000000000001
 Mchn 3  Mat Pressure  U  Act,246.75025301444492,6.122104295376606,-0.2611453216151339,-0.6068387933167609,6.139999999999986
 Mchn 3  Mat Temp  U  Act,74.14026533293513,2.058298268650499,-2.091621299993422,3.881846357380157,1.7000000000000028
 Mchn 3  Exit Zone Temp  C  Act,65.00823205575313,0.062439880951791,0.09916434867504108,1.1860486071494716,0.0
 First Stage  Combiner Operation  Temp 1  U  Act,108.91797021204572,5.669857267910885,0.048448975962424264,1.663864576569929,11.0
 First Stage  Combiner Operation  Temp 2  U  Act,84.89832276490203,18.579319200212847,0.12308340251508618,-1.7596444472891224,35.2
 First Stage  Combiner Operation  Temp 3  C  Act,80.00371430078933,0.1183265326324642,-0.40053699147926586,0.6237590137237534,0.09999999999999432
 Stage 1  Out  Meas 0  U  Act,12.896918565585604,0.9342279698928067,-12.84202470760694,179.32333877935548,0.16000000000000014
 Stage 1  Out  Meas 0  U  Setp,13.69534355479841,0.865212073060112,-15.767953668996805,246.66338040350064,0.0
